구분,죄종,발생검거,건수
중부,살인,발생,4
중부,살인,검거,4
중부,강도,발생,20
중부,강도,검거,26
중부,강간,발생,76
중부,강간,검거,72
중부,절도,발생,699
중부,절도,검거,507
중부,폭력,발생,1898
중부,폭력,검거,1855
종로,살인,발생,5
종로,살인,검거,6
종로,강도,발생,13
종로,강도,검거,16
종로,강간,발생,86
종로,강간,검거,99
종로,절도,발생,558
종로,절도,검거,321
종로,폭력,발생,1330
종로,폭력,검거,1216
남대문,살인,발생,1
남대문,살인,검거,1
남대문,강도,발생,10
남대문,강도,검거,12
남대문,강간,발생,57
남대문,강간,검거,56
남대문,절도,발생,596
남대문,절도,검거,477
남대문,폭력,발생,1208
남대문,폭력,검거,1150
서대문,살인,발생,8
서대문,살인,검거,9
서대문,강도,발생,35
서대문,강도,검거,22
서대문,강간,발생,124
서대문,강간,검거,107
서대문,절도,발생,1345
서대문,절도,검거,655
서대문,폭력,발생,2610
서대문,폭력,검거,2407
혜화,살인,발생,3
혜화,살인,검거,3
혜화,강도,발생,15
혜화,강도,검거,18
혜화,강간,발생,69
혜화,강간,검거,52
혜화,절도,발생,416
혜화,절도,검거,412
혜화,폭력,발생,1678
혜화,폭력,검거,1691
용산,살인,발생,7
용산,살인,검거,6
용산,강도,발생,19
용산,강도,검거,11
용산,강간,발생,74
용산,강간,검거,70
용산,절도,발생,708
용산,절도,검거,519
용산,폭력,발생,1781
용산,폭력,검거,1735
성북,살인,발생,5
성북,살인,검거,4
성북,강도,발생,21
성북,강도,검거,20
성북,강간,발생,85
성북,강간,검거,60
성북,절도,발생,622
성북,절도,검거,421
성북,폭력,발생,1477
성북,폭력,검거,1424
동대문,살인,발생,11
동대문,살인,검거,9
동대문,강도,발생,38
동대문,강도,검거,25
동대문,강간,발생,114
동대문,강간,검거,106
동대문,절도,발생,731
동대문,절도,검거,596
동대문,폭력,발생,3221
동대문,폭력,검거,3194
마포,살인,발생,8
마포,살인,검거,4
마포,강도,발생,24
마포,강도,검거,24
마포,강간,발생,109
마포,강간,검거,106
마포,절도,발생,720
마포,절도,검거,483
마포,폭력,발생,2642
마포,폭력,검거,2622
영등포,살인,발생,19
영등포,살인,검거,18
영등포,강도,발생,43
영등포,강도,검거,32
영등포,강간,발생,144
영등포,강간,검거,130
영등포,절도,발생,1170
영등포,절도,검거,738
영등포,폭력,발생,3914
영등포,폭력,검거,3752
성동,살인,발생,1
성동,살인,검거,3
성동,강도,발생,32
성동,강도,검거,23
성동,강간,발생,95
성동,강간,검거,92
성동,절도,발생,1179
성동,절도,검거,697
성동,폭력,발생,2093
성동,폭력,검거,1982
동작,살인,발생,9
동작,살인,검거,7
동작,강도,발생,28
동작,강도,검거,17
동작,강간,발생,170
동작,강간,검거,100
동작,절도,발생,928
동작,절도,검거,451
동작,폭력,발생,2211
동작,폭력,검거,2106
광진,살인,발생,3
광진,살인,검거,5
광진,강도,발생,48
광진,강도,검거,32
광진,강간,발생,146
광진,강간,검거,133
광진,절도,발생,2125
광진,절도,검거,835
광진,폭력,발생,2986
광진,폭력,검거,2641
서부,살인,발생,3
서부,살인,검거,3
서부,강도,발생,12
서부,강도,검거,14
서부,강간,발생,48
서부,강간,검거,48
서부,절도,발생,483
서부,절도,검거,302
서부,폭력,발생,1366
서부,폭력,검거,1301
강북,살인,발생,7
강북,살인,검거,8
강북,강도,발생,43
강북,강도,검거,46
강북,강간,발생,122
강북,강간,검거,119
강북,절도,발생,650
강북,절도,검거,576
강북,폭력,발생,2515
강북,폭력,검거,2483
금천,살인,발생,3
금천,살인,검거,3
금천,강도,발생,31
금천,강도,검거,18
금천,강간,발생,104
금천,강간,검거,92
금천,절도,발생,1030
금천,절도,검거,638
금천,폭력,발생,2530
금천,폭력,검거,2389
중랑,살인,발생,7
중랑,살인,검거,7
중랑,강도,발생,30
중랑,강도,검거,26
중랑,강간,발생,114
중랑,강간,검거,112
중랑,절도,발생,1022
중랑,절도,검거,973
중랑,폭력,발생,3401
중랑,폭력,검거,3394
강남,살인,발생,10
강남,살인,검거,3
강남,강도,발생,45
강남,강도,검거,26
강남,강간,발생,161
강남,강간,검거,123
강남,절도,발생,854
강남,절도,검거,446
강남,폭력,발생,2936
강남,폭력,검거,2796
관악,살인,발생,10
관악,살인,검거,9
관악,강도,발생,33
관악,강도,검거,29
관악,강간,발생,216
관악,강간,검거,139
관악,절도,발생,1556
관악,절도,검거,651
관악,폭력,발생,3519
관악,폭력,검거,3267
강서,살인,발생,18
강서,살인,검거,17
강서,강도,발생,36
강서,강도,검거,32
강서,강간,발생,129
강서,강간,검거,119
강서,절도,발생,1322
강서,절도,검거,557
강서,폭력,발생,3487
강서,폭력,검거,3336
강동,살인,발생,8
강동,살인,검거,8
강동,강도,발생,52
강동,강도,검거,54
강동,강간,발생,111
강동,강간,검거,100
강동,절도,발생,885
강동,절도,검거,949
강동,폭력,발생,3051
강동,폭력,검거,3005
종암,살인,발생,5
종암,살인,검거,6
종암,강도,발생,25
종암,강도,검거,27
종암,강간,발생,49
종암,강간,검거,44
