구분,죄종,발생검거,건수
중부,살인,발생,4
중부,살인,검거,4
중부,강도,발생,13
중부,강도,검거,12
중부,강간,발생,83
중부,강간,검거,70
중부,절도,발생,680
중부,절도,검거,604
중부,폭력,발생,1937
중부,폭력,검거,1868
종로,살인,발생,5
종로,살인,검거,4
종로,강도,발생,29
종로,강도,검거,16
종로,강간,발생,65
종로,강간,검거,47
종로,절도,발생,581
종로,절도,검거,341
종로,폭력,발생,1463
종로,폭력,검거,1266
남대문,살인,발생,0
남대문,살인,검거,1
남대문,강도,발생,16
남대문,강도,검거,8
남대문,강간,발생,39
남대문,강간,검거,38
남대문,절도,발생,653
남대문,절도,검거,366
남대문,폭력,발생,1209
남대문,폭력,검거,1185
서대문,살인,발생,4
서대문,살인,검거,5
서대문,강도,발생,21
서대문,강도,검거,17
서대문,강간,발생,121
서대문,강간,검거,122
서대문,절도,발생,1616
서대문,절도,검거,640
서대문,폭력,발생,2475
서대문,폭력,검거,2283
혜화,살인,발생,2
혜화,살인,검거,2
혜화,강도,발생,12
혜화,강도,검거,12
혜화,강간,발생,71
혜화,강간,검거,57
혜화,절도,발생,394
혜화,절도,검거,596
혜화,폭력,발생,1916
혜화,폭력,검거,1966
용산,살인,발생,9
용산,살인,검거,7
용산,강도,발생,24
용산,강도,검거,27
용산,강간,발생,114
용산,강간,검거,89
용산,절도,발생,734
용산,절도,검거,583
용산,폭력,발생,1682
용산,폭력,검거,1635
성북,살인,발생,4
성북,살인,검거,5
성북,강도,발생,23
성북,강도,검거,19
성북,강간,발생,66
성북,강간,검거,44
성북,절도,발생,629
성북,절도,검거,439
성북,폭력,발생,1376
성북,폭력,검거,1332
동대문,살인,발생,13
동대문,살인,검거,12
동대문,강도,발생,40
동대문,강도,검거,39
동대문,강간,발생,121
동대문,강간,검거,121
동대문,절도,발생,836
동대문,절도,검거,710
동대문,폭력,발생,3296
동대문,폭력,검거,3256
마포,살인,발생,5
마포,살인,검거,5
마포,강도,발생,28
마포,강도,검거,26
마포,강간,발생,139
마포,강간,검거,135
마포,절도,발생,912
마포,절도,검거,483
마포,폭력,발생,2947
마포,폭력,검거,2684
영등포,살인,발생,13
영등포,살인,검거,12
영등포,강도,발생,51
영등포,강도,검거,46
영등포,강간,발생,131
영등포,강간,검거,120
영등포,절도,발생,1446
영등포,절도,검거,819
영등포,폭력,발생,4025
영등포,폭력,검거,3892
성동,살인,발생,5
성동,살인,검거,4
성동,강도,발생,24
성동,강도,검거,32
성동,강간,발생,94
성동,강간,검거,81
성동,절도,발생,1006
성동,절도,검거,781
성동,폭력,발생,1944
성동,폭력,검거,1859
동작,살인,발생,3
동작,살인,검거,4
동작,강도,발생,23
동작,강도,검거,18
동작,강간,발생,142
동작,강간,검거,78
동작,절도,발생,928
동작,절도,검거,553
동작,폭력,발생,2107
동작,폭력,검거,2033
광진,살인,발생,8
광진,살인,검거,8
광진,강도,발생,53
광진,강도,검거,45
광진,강간,발생,156
광진,강간,검거,134
광진,절도,발생,1862
광진,절도,검거,918
광진,폭력,발생,2661
광진,폭력,검거,2435
서부,살인,발생,5
서부,살인,검거,6
서부,강도,발생,17
서부,강도,검거,9
서부,강간,발생,45
서부,강간,검거,43
서부,절도,발생,503
서부,절도,검거,325
서부,폭력,발생,1179
서부,폭력,검거,1143
강북,살인,발생,12
강북,살인,검거,12
강북,강도,발생,46
강북,강도,검거,51
강북,강간,발생,130
강북,강간,검거,104
강북,절도,발생,740
강북,절도,검거,578
강북,폭력,발생,2373
강북,폭력,검거,2360
금천,살인,발생,6
금천,살인,검거,6
금천,강도,발생,31
금천,강도,검거,23
금천,강간,발생,84
금천,강간,검거,72
금천,절도,발생,978
금천,절도,검거,636
금천,폭력,발생,2400
금천,폭력,검거,2230
중랑,살인,발생,13
중랑,살인,검거,14
중랑,강도,발생,40
중랑,강도,검거,43
중랑,강간,발생,82
중랑,강간,검거,89
중랑,절도,발생,965
중랑,절도,검거,854
중랑,폭력,발생,3282
중랑,폭력,검거,3257
강남,살인,발생,8
강남,살인,검거,4
강남,강도,발생,66
강남,강도,검거,45
강남,강간,발생,160
강남,강간,검거,131
강남,절도,발생,865
강남,절도,검거,579
강남,폭력,발생,3117
강남,폭력,검거,2975
관악,살인,발생,13
관악,살인,검거,10
관악,강도,발생,87
관악,강도,검거,73
관악,강간,발생,236
관악,강간,검거,136
관악,절도,발생,1774
관악,절도,검거,766
관악,폭력,발생,3693
관악,폭력,검거,3407
강서,살인,발생,4
강서,살인,검거,3
강서,강도,발생,53
강서,강도,검거,64
강서,강간,발생,131
강서,강간,검거,124
강서,절도,발생,1358
강서,절도,검거,751
강서,폭력,발생,3274
강서,폭력,검거,3058
강동,살인,발생,7
강동,살인,검거,9
강동,강도,발생,35
강동,강도,검거,40
강동,강간,발생,102
강동,강간,검거,96
강동,절도,발생,814
강동,절도,검거,931
강동,폭력,발생,2791
강동,폭력,검거,2789
종암,살인,발생,8
종암,살인,검거,9
종암,강도,발생,17
종암,강도,검거,14
종암,강간,발생,48
종암,강간,검거,52
종암,절도,발생,477
