구분,죄종,발생검거,건수
중부,살인,발생,0
중부,살인,검거,0
중부,강도,발생,6
중부,강도,검거,7
중부,강간,발생,128
중부,강간,검거,91
중부,절도,발생,1540
중부,절도,검거,477
중부,폭력,발생,1454
중부,폭력,검거,1264
종로,살인,발생,2
종로,살인,검거,1
종로,강도,발생,5
종로,강도,검거,5
종로,강간,발생,117
종로,강간,검거,95
종로,절도,발생,1114
종로,절도,검거,409
종로,폭력,발생,1235
종로,폭력,검거,1089
남대문,살인,발생,1
남대문,살인,검거,1
남대문,강도,발생,10
남대문,강도,검거,7
남대문,강간,발생,65
남대문,강간,검거,46
남대문,절도,발생,1047
남대문,절도,검거,438
남대문,폭력,발생,989
남대문,폭력,검거,884
서대문,살인,발생,8
서대문,살인,검거,7
서대문,강도,발생,13
서대문,강도,검거,11
서대문,강간,발생,206
서대문,강간,검거,166
서대문,절도,발생,2087
서대문,절도,검거,807
서대문,폭력,발생,1973
서대문,폭력,검거,1674
혜화,살인,발생,2
혜화,살인,검거,1
혜화,강도,발생,6
혜화,강도,검거,3
혜화,강간,발생,89
혜화,강간,검거,55
혜화,절도,발생,1356
혜화,절도,검거,634
혜화,폭력,발생,1175
혜화,폭력,검거,1017
용산,살인,발생,4
용산,살인,검거,5
용산,강도,발생,23
용산,강도,검거,13
용산,강간,발생,182
용산,강간,검거,153
용산,절도,발생,1547
용산,절도,검거,547
용산,폭력,발생,2125
용산,폭력,검거,1709
성북,살인,발생,3
성북,살인,검거,2
성북,강도,발생,5
성북,강도,검거,4
성북,강간,발생,91
성북,강간,검거,75
성북,절도,발생,1375
성북,절도,검거,398
성북,폭력,발생,1274
성북,폭력,검거,1049
동대문,살인,발생,9
동대문,살인,검거,10
동대문,강도,발생,21
동대문,강도,검거,10
동대문,강간,발생,199
동대문,강간,검거,154
동대문,절도,발생,2130
동대문,절도,검거,554
동대문,폭력,발생,2531
동대문,폭력,검거,2163
마포,살인,발생,3
마포,살인,검거,3
마포,강도,발생,20
마포,강도,검거,13
마포,강간,발생,262
마포,강간,검거,183
마포,절도,발생,2387
마포,절도,검거,662
마포,폭력,발생,2740
마포,폭력,검거,2226
영등포,살인,발생,14
영등포,살인,검거,12
영등포,강도,발생,21
영등포,강도,검거,20
영등포,강간,발생,260
영등포,강간,검거,185
영등포,절도,발생,3200
영등포,절도,검거,912
영등포,폭력,발생,3368
영등포,폭력,검거,2733
성동,살인,발생,2
성동,살인,검거,1
성동,강도,발생,8
성동,강도,검거,7
성동,강간,발생,101
성동,강간,검거,79
성동,절도,발생,1614
성동,절도,검거,510
성동,폭력,발생,1482
성동,폭력,검거,1260
동작,살인,발생,6
동작,살인,검거,6
동작,강도,발생,10
동작,강도,검거,6
동작,강간,발생,215
동작,강간,검거,118
동작,절도,발생,2365
동작,절도,검거,920
동작,폭력,발생,1829
동작,폭력,검거,1514
광진,살인,발생,4
광진,살인,검거,4
광진,강도,발생,8
광진,강도,검거,12
광진,강간,발생,269
광진,강간,검거,228
광진,절도,발생,3124
광진,절도,검거,1258
광진,폭력,발생,2730
광진,폭력,검거,2202
서부,살인,발생,4
서부,살인,검거,5
서부,강도,발생,5
서부,강도,검거,6
서부,강간,발생,70
서부,강간,검거,60
서부,절도,발생,967
서부,절도,검거,343
서부,폭력,발생,1198
서부,폭력,검거,1005
강북,살인,발생,2
강북,살인,검거,2
강북,강도,발생,16
강북,강도,검거,18
강북,강간,발생,202
강북,강간,검거,170
강북,절도,발생,1464
강북,절도,검거,571
강북,폭력,발생,2336
강북,폭력,검거,2084
금천,살인,발생,6
금천,살인,검거,5
금천,강도,발생,16
금천,강도,검거,14
금천,강간,발생,138
금천,강간,검거,108
금천,절도,발생,1620
금천,절도,검거,735
금천,폭력,발생,2180
금천,폭력,검거,1815
중랑,살인,발생,6
중랑,살인,검거,6
중랑,강도,발생,18
중랑,강도,검거,14
중랑,강간,발생,185
중랑,강간,검거,139
중랑,절도,발생,2052
중랑,절도,검거,732
중랑,폭력,발생,2907
중랑,폭력,검거,2516
강남,살인,발생,6
강남,살인,검거,6
강남,강도,발생,16
강남,강도,검거,9
강남,강간,발생,325
강남,강간,검거,223
강남,절도,발생,2750
강남,절도,검거,716
강남,폭력,발생,2916
강남,폭력,검거,2418
관악,살인,발생,7
관악,살인,검거,6
관악,강도,발생,24
관악,강도,검거,17
관악,강간,발생,374
관악,강간,검거,209
관악,절도,발생,3447
관악,절도,검거,753
관악,폭력,발생,3385
관악,폭력,검거,2733
강서,살인,발생,14
강서,살인,검거,12
강서,강도,발생,26
강서,강도,검거,24
강서,강간,발생,270
강서,강간,검거,224
강서,절도,발생,2638
강서,절도,검거,949
강서,폭력,발생,3028
강서,폭력,검거,2395
강동,살인,발생,9
강동,살인,검거,9
강동,강도,발생,17
강동,강도,검거,11
강동,강간,발생,152
강동,강간,검거,130
강동,절도,발생,2546
강동,절도,검거,722
강동,폭력,발생,2810
강동,폭력,검거,2362
종암,살인,발생,1
종암,살인,검거,1
종암,강도,발생,8
종암,강도,검거,8
종암,강간,발생,60
종암,강간,검거,50
종암,절도,발생,914
종암,절도,검거,278
종암,폭력,발생,1036
종암,폭력,검거,857
구로,살인,발생,9
구로,살인,검거,10
구로,강도,발생,20
구로,강도,검거,13
구로,강간,발생,233
구로,강간,검거,165
구로,절도,발생,2436
구로,절도,검거,663
구로,폭력,발생,2967
구로,폭력,검거,2329
서초,살인,발생,1
서초,살인,검거,1
서초,강도,발생,10
서초,강도,검거,8
서초,강간,발생,224
서초,강간,검거,158
서초,절도,발생,2177
서초,절도,검거,619
서초,폭력,발생,1861
서초,폭력,검거,1540
양천,살인,발생,3
양천,살인,검거,2
양천,강도,발생,16
양천,강도,검거,7
양천,강간,발생,136
양천,강간,검거,97
양천,절도,발생,2032
양천,절도,검거,643
양천,폭력,발생,2431
양천,폭력,검거,1823
송파,살인,발생,4
송파,살인,검거,3
송파,강도,발생,18
송파,강도,검거,15
송파,강간,발생,257
송파,강간,검거,181
송파,절도,발생,3915
송파,절도,검거,836
송파,폭력,발생,3058
송파,폭력,검거,2368
노원,살인,발생,7
노원,살인,검거,7
노원,강도,발생,14
노원,강도,검거,10
노원,강간,발생,207
노원,강간,검거,135
노원,절도,발생,2316
노원,절도,검거,801
노원,폭력,발생,2712
노원,폭력,검거,2274
방배,살인,발생,1
방배,살인,검거,1
방배,강도,발생,6
방배,강도,검거,4
방배,강간,발생,55
방배,강간,검거,37
방배,절도,발생,763
방배,절도,검거,215
방배,폭력,발생,645
방배,폭력,검거,535
은평,살인,발생,5
은평,살인,검거,4
은평,강도,발생,9
은평,강도,검거,11
은평,강간,발생,92
은평,강간,검거,73
은평,절도,발생,1431
은평,절도,검거,571
은평,폭력,발생,1633
은평,폭력,검거,1369
도봉,살인,발생,3
도봉,살인,검거,2
도봉,강도,발생,10
도봉,강도,검거,13
도봉,강간,발생,90
도봉,강간,검거,77
도봉,절도,발생,1535
도봉,절도,검거,584
도봉,폭력,발생,1592
도봉,폭력,검거,1357
수서,살인,발생,6
수서,살인,검거,6
수서,강도,발생,15
수서,강도,검거,10
수서,강간,발생,130
수서,강간,검거,94
수서,절도,발생,1696
수서,절도,검거,470
수서,폭력,발생,1817
수서,폭력,검거,1512
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
