구분,죄종,발생검거,건수
중부,살인,발생,2
중부,살인,검거,2
중부,강도,발생,3
중부,강도,검거,2
중부,강간,발생,105
중부,강간,검거,65
중부,절도,발생,1395
중부,절도,검거,477
중부,폭력,발생,1355
중부,폭력,검거,1170
종로,살인,발생,3
종로,살인,검거,3
종로,강도,발생,6
종로,강도,검거,5
종로,강간,발생,115
종로,강간,검거,98
종로,절도,발생,1070
종로,절도,검거,413
종로,폭력,발생,1278
종로,폭력,검거,1070
남대문,살인,발생,1
남대문,살인,검거,0
남대문,강도,발생,6
남대문,강도,검거,4
남대문,강간,발생,65
남대문,강간,검거,46
남대문,절도,발생,1153
남대문,절도,검거,382
남대문,폭력,발생,869
남대문,폭력,검거,794
서대문,살인,발생,2
서대문,살인,검거,2
서대문,강도,발생,5
서대문,강도,검거,4
서대문,강간,발생,154
서대문,강간,검거,124
서대문,절도,발생,1812
서대문,절도,검거,738
서대문,폭력,발생,2056
서대문,폭력,검거,1711
혜화,살인,발생,3
혜화,살인,검거,2
혜화,강도,발생,5
혜화,강도,검거,4
혜화,강간,발생,96
혜화,강간,검거,63
혜화,절도,발생,1114
혜화,절도,검거,424
혜화,폭력,발생,1015
혜화,폭력,검거,861
용산,살인,발생,5
용산,살인,검거,5
용산,강도,발생,14
용산,강도,검거,14
용산,강간,발생,194
용산,강간,검거,173
용산,절도,발생,1557
용산,절도,검거,587
용산,폭력,발생,2050
용산,폭력,검거,1704
성북,살인,발생,2
성북,살인,검거,2
성북,강도,발생,2
성북,강도,검거,1
성북,강간,발생,86
성북,강간,검거,71
성북,절도,발생,953
성북,절도,검거,409
성북,폭력,발생,1194
성북,폭력,검거,1015
동대문,살인,발생,5
동대문,살인,검거,5
동대문,강도,발생,13
동대문,강도,검거,13
동대문,강간,발생,173
동대문,강간,검거,146
동대문,절도,발생,1981
동대문,절도,검거,814
동대문,폭력,발생,2548
동대문,폭력,검거,2227
마포,살인,발생,8
마포,살인,검거,8
마포,강도,발생,14
마포,강도,검거,10
마포,강간,발생,294
마포,강간,검거,247
마포,절도,발생,2555
마포,절도,검거,813
마포,폭력,발생,2983
마포,폭력,검거,2519
영등포,살인,발생,14
영등포,살인,검거,12
영등포,강도,발생,22
영등포,강도,검거,20
영등포,강간,발생,295
영등포,강간,검거,183
영등포,절도,발생,2964
영등포,절도,검거,978
영등포,폭력,발생,3572
영등포,폭력,검거,2961
성동,살인,발생,4
성동,살인,검거,4
성동,강도,발생,9
성동,강도,검거,8
성동,강간,발생,126
성동,강간,검거,119
성동,절도,발생,1607
성동,절도,검거,597
성동,폭력,발생,1612
성동,폭력,검거,1395
동작,살인,발생,5
동작,살인,검거,5
동작,강도,발생,9
동작,강도,검거,5
동작,강간,발생,285
동작,강간,검거,139
동작,절도,발생,1865
동작,절도,검거,661
동작,폭력,발생,1910
동작,폭력,검거,1587
광진,살인,발생,4
광진,살인,검거,4
광진,강도,발생,14
광진,강도,검거,26
광진,강간,발생,240
광진,강간,검거,220
광진,절도,발생,3026
광진,절도,검거,1277
광진,폭력,발생,2625
광진,폭력,검거,2180
서부,살인,발생,2
서부,살인,검거,2
서부,강도,발생,2
서부,강도,검거,1
서부,강간,발생,70
서부,강간,검거,59
서부,절도,발생,819
서부,절도,검거,293
서부,폭력,발생,1192
서부,폭력,검거,1038
강북,살인,발생,7
강북,살인,검거,8
강북,강도,발생,14
강북,강도,검거,13
강북,강간,발생,153
강북,강간,검거,126
강북,절도,발생,1434
강북,절도,검거,618
강북,폭력,발생,2649
강북,폭력,검거,2348
금천,살인,발생,3
금천,살인,검거,4
금천,강도,발생,6
금천,강도,검거,6
금천,강간,발생,151
금천,강간,검거,122
금천,절도,발생,1567
금천,절도,검거,888
금천,폭력,발생,2054
금천,폭력,검거,1776
중랑,살인,발생,13
중랑,살인,검거,12
중랑,강도,발생,11
중랑,강도,검거,9
중랑,강간,발생,187
중랑,강간,검거,148
중랑,절도,발생,2135
중랑,절도,검거,829
중랑,폭력,발생,2847
중랑,폭력,검거,2407
강남,살인,발생,3
강남,살인,검거,3
강남,강도,발생,15
강남,강도,검거,12
강남,강간,발생,300
강남,강간,검거,225
강남,절도,발생,2411
강남,절도,검거,984
강남,폭력,발생,2465
강남,폭력,검거,2146
관악,살인,발생,9
관악,살인,검거,8
관악,강도,발생,12
관악,강도,검거,14
관악,강간,발생,320
관악,강간,검거,221
관악,절도,발생,2706
관악,절도,검거,827
관악,폭력,발생,3298
관악,폭력,검거,2642
강서,살인,발생,7
강서,살인,검거,8
강서,강도,발생,13
강서,강도,검거,13
강서,강간,발생,262
강서,강간,검거,191
강서,절도,발생,2096
강서,절도,검거,1260
강서,폭력,발생,3207
강서,폭력,검거,2718
강동,살인,발생,4
강동,살인,검거,3
강동,강도,발생,6
강동,강도,검거,8
강동,강간,발생,156
강동,강간,검거,123
강동,절도,발생,2366
강동,절도,검거,789
강동,폭력,발생,2712
강동,폭력,검거,2248
종암,살인,발생,3
종암,살인,검거,3
종암,강도,발생,3
종암,강도,검거,3
종암,강간,발생,64
종암,강간,검거,53
종암,절도,발생,832
종암,절도,검거,332
종암,폭력,발생,1015
종암,폭력,검거,840
구로,살인,발생,8
구로,살인,검거,6
구로,강도,발생,15
구로,강도,검거,11
구로,강간,발생,281
구로,강간,검거,164
구로,절도,발생,2335
구로,절도,검거,889
구로,폭력,발생,3007
구로,폭력,검거,2432
서초,살인,발생,7
서초,살인,검거,4
서초,강도,발생,8
서초,강도,검거,5
서초,강간,발생,334
서초,강간,검거,193
서초,절도,발생,1982
서초,절도,검거,905
서초,폭력,발생,1852
서초,폭력,검거,1607
양천,살인,발생,3
양천,살인,검거,5
양천,강도,발생,6
양천,강도,검거,3
양천,강간,발생,120
양천,강간,검거,105
양천,절도,발생,1890
양천,절도,검거,672
양천,폭력,발생,2509
양천,폭력,검거,2030
송파,살인,발생,11
송파,살인,검거,10
송파,강도,발생,13
송파,강도,검거,10
송파,강간,발생,220
송파,강간,검거,178
송파,절도,발생,3239
송파,절도,검거,1129
송파,폭력,발생,3295
송파,폭력,검거,2786
노원,살인,발생,10
노원,살인,검거,10
노원,강도,발생,7
노원,강도,검거,7
노원,강간,발생,197
노원,강간,검거,121
노원,절도,발생,2193
노원,절도,검거,801
노원,폭력,발생,2723
노원,폭력,검거,2329
방배,살인,발생,1
방배,살인,검거,2
방배,강도,발생,1
방배,강도,검거,1
방배,강간,발생,59
방배,강간,검거,56
방배,절도,발생,653
방배,절도,검거,186
방배,폭력,발생,547
방배,폭력,검거,491
은평,살인,발생,1
은평,살인,검거,1
은평,강도,발생,7
은평,강도,검거,5
은평,강간,발생,96
은평,강간,검거,82
은평,절도,발생,1095
은평,절도,검거,418
은평,폭력,발생,1461
은평,폭력,검거,1268
도봉,살인,발생,3
도봉,살인,검거,3
도봉,강도,발생,9
도봉,강도,검거,10
도봉,강간,발생,102
도봉,강간,검거,106
도봉,절도,발생,1063
도봉,절도,검거,478
도봉,폭력,발생,1487
도봉,폭력,검거,1303
수서,살인,발생,10
수서,살인,검거,7
수서,강도,발생,6
수서,강도,검거,6
수서,강간,발생,149
수서,강간,검거,124
수서,절도,발생,1439
수서,절도,검거,666
수서,폭력,발생,1819
수서,폭력,검거,1559
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
