구분,죄종,발생검거,건수
중부,살인,발생,0
중부,살인,검거,0
중부,강도,발생,17
중부,강도,검거,6
중부,강간,발생,80
중부,강간,검거,22
중부,절도,발생,1156
중부,절도,검거,388
중부,폭력,발생,1647
중부,폭력,검거,1471
종로,살인,발생,3
종로,살인,검거,3
종로,강도,발생,14
종로,강도,검거,41
종로,강간,발생,37
종로,강간,검거,35
종로,절도,발생,779
종로,절도,검거,540
종로,폭력,발생,2096
종로,폭력,검거,1903
남대문,살인,발생,6
남대문,살인,검거,6
남대문,강도,발생,14
남대문,강도,검거,15
남대문,강간,발생,16
남대문,강간,검거,18
남대문,절도,발생,910
남대문,절도,검거,414
남대문,폭력,발생,1364
남대문,폭력,검거,1306
서대문,살인,발생,2
서대문,살인,검거,3
서대문,강도,발생,51
서대문,강도,검거,48
서대문,강간,발생,69
서대문,강간,검거,47
서대문,절도,발생,1065
서대문,절도,검거,638
서대문,폭력,발생,2611
서대문,폭력,검거,2359
혜화,살인,발생,4
혜화,살인,검거,4
혜화,강도,발생,33
혜화,강도,검거,26
혜화,강간,발생,113
혜화,강간,검거,51
혜화,절도,발생,1521
혜화,절도,검거,774
혜화,폭력,발생,2529
혜화,폭력,검거,2312
용산,살인,발생,3
용산,살인,검거,3
용산,강도,발생,71
용산,강도,검거,45
용산,강간,발생,38
용산,강간,검거,31
용산,절도,발생,1845
용산,절도,검거,1604
용산,폭력,발생,2519
용산,폭력,검거,2214
성북,살인,발생,2
성북,살인,검거,1
성북,강도,발생,22
성북,강도,검거,22
성북,강간,발생,50
성북,강간,검거,35
성북,절도,발생,771
성북,절도,검거,698
성북,폭력,발생,1759
성북,폭력,검거,1619
동대문,살인,발생,11
동대문,살인,검거,10
동대문,강도,발생,48
동대문,강도,검거,33
동대문,강간,발생,76
동대문,강간,검거,81
동대문,절도,발생,1543
동대문,절도,검거,790
동대문,폭력,발생,4390
동대문,폭력,검거,4169
마포,살인,발생,3
마포,살인,검거,3
마포,강도,발생,89
마포,강도,검거,34
마포,강간,발생,73
마포,강간,검거,53
마포,절도,발생,3053
마포,절도,검거,1902
마포,폭력,발생,3912
마포,폭력,검거,3532
영등포,살인,발생,7
영등포,살인,검거,9
영등포,강도,발생,54
영등포,강도,검거,36
영등포,강간,발생,76
영등포,강간,검거,61
영등포,절도,발생,1675
영등포,절도,검거,552
영등포,폭력,발생,3470
영등포,폭력,검거,3021
성동,살인,발생,2
성동,살인,검거,3
성동,강도,발생,44
성동,강도,검거,58
성동,강간,발생,60
성동,강간,검거,44
성동,절도,발생,1441
성동,절도,검거,616
성동,폭력,발생,3203
성동,폭력,검거,2892
동작,살인,발생,5
동작,살인,검거,6
동작,강도,발생,79
동작,강도,검거,44
동작,강간,발생,76
동작,강간,검거,64
동작,절도,발생,1484
동작,절도,검거,860
동작,폭력,발생,3120
동작,폭력,검거,2803
광진,살인,발생,14
광진,살인,검거,18
광진,강도,발생,125
광진,강도,검거,93
광진,강간,발생,104
광진,강간,검거,84
광진,절도,발생,2389
광진,절도,검거,1088
광진,폭력,발생,4710
광진,폭력,검거,4110
서부,살인,발생,8
서부,살인,검거,8
서부,강도,발생,33
서부,강도,검거,16
서부,강간,발생,40
서부,강간,검거,37
서부,절도,발생,1491
서부,절도,검거,643
서부,폭력,발생,2905
서부,폭력,검거,2767
강북,살인,발생,6
강북,살인,검거,4
강북,강도,발생,62
강북,강도,검거,69
강북,강간,발생,53
강북,강간,검거,46
강북,절도,발생,1494
강북,절도,검거,1032
강북,폭력,발생,3625
강북,폭력,검거,3357
금천,살인,발생,13
금천,살인,검거,16
금천,강도,발생,93
금천,강도,검거,69
금천,강간,발생,80
금천,강간,검거,70
금천,절도,발생,2315
금천,절도,검거,941
금천,폭력,발생,4914
금천,폭력,검거,4273
중랑,살인,발생,16
중랑,살인,검거,17
중랑,강도,발생,86
중랑,강도,검거,68
중랑,강간,발생,85
중랑,강간,검거,70
중랑,절도,발생,1839
중랑,절도,검거,846
중랑,폭력,발생,4093
중랑,폭력,검거,3594
강남,살인,발생,13
강남,살인,검거,18
강남,강도,발생,153
강남,강도,검거,116
강남,강간,발생,109
강남,강간,검거,65
강남,절도,발생,3655
강남,절도,검거,1109
강남,폭력,발생,4775
강남,폭력,검거,4082
관악,살인,발생,3
관악,살인,검거,2
관악,강도,발생,63
관악,강도,검거,37
관악,강간,발생,133
관악,강간,검거,61
관악,절도,발생,2236
관악,절도,검거,777
관악,폭력,발생,3200
관악,폭력,검거,2897
강서,살인,발생,16
강서,살인,검거,18
강서,강도,발생,78
강서,강도,검거,48
강서,강간,발생,62
강서,강간,검거,54
강서,절도,발생,2088
강서,절도,검거,800
강서,폭력,발생,4733
강서,폭력,검거,4185
강동,살인,발생,9
강동,살인,검거,11
강동,강도,발생,62
강동,강도,검거,80
강동,강간,발생,59
강동,강간,검거,59
강동,절도,발생,1713
강동,절도,검거,858
강동,폭력,발생,4215
강동,폭력,검거,3897
종암,살인,발생,10
종암,살인,검거,12
종암,강도,발생,41
종암,강도,검거,50
종암,강간,발생,55
종암,강간,검거,36
종암,절도,발생,941
종암,절도,검거,577
종암,폭력,발생,2774
종암,폭력,검거,2580
구로,살인,발생,4
구로,살인,검거,5
구로,강도,발생,79
구로,강도,검거,36
구로,강간,발생,67
구로,강간,검거,45
구로,절도,발생,2466
구로,절도,검거,1010
구로,폭력,발생,3457
구로,폭력,검거,2891
서초,살인,발생,3
서초,살인,검거,6
서초,강도,발생,145
서초,강도,검거,62
서초,강간,발생,171
서초,강간,검거,44
서초,절도,발생,2163
서초,절도,검거,899
서초,폭력,발생,3237
서초,폭력,검거,2978
양천,살인,발생,8
양천,살인,검거,8
양천,강도,발생,72
양천,강도,검거,51
양천,강간,발생,55
양천,강간,검거,49
양천,절도,발생,1963
양천,절도,검거,1352
양천,폭력,발생,3345
양천,폭력,검거,2918
송파,살인,발생,5
송파,살인,검거,5
송파,강도,발생,42
송파,강도,검거,47
송파,강간,발생,50
송파,강간,검거,41
송파,절도,발생,1780
송파,절도,검거,1008
송파,폭력,발생,3368
송파,폭력,검거,2876
노원,살인,발생,8
노원,살인,검거,9
노원,강도,발생,25
노원,강도,검거,30
노원,강간,발생,38
노원,강간,검거,36
노원,절도,발생,954
노원,절도,검거,573
노원,폭력,발생,2527
노원,폭력,검거,2345
방배,살인,발생,6
방배,살인,검거,6
방배,강도,발생,51
방배,강도,검거,40
방배,강간,발생,146
방배,강간,검거,32
방배,절도,발생,1534
방배,절도,검거,881
방배,폭력,발생,1900
방배,폭력,검거,1659
은평,살인,발생,6
은평,살인,검거,7
은평,강도,발생,30
은평,강도,검거,18
은평,강간,발생,30
은평,강간,검거,31
은평,절도,발생,1005
은평,절도,검거,569
은평,폭력,발생,2314
은평,폭력,검거,2004
도봉,살인,발생,3
도봉,살인,검거,2
도봉,강도,발생,33
도봉,강도,검거,17
도봉,강간,발생,37
도봉,강간,검거,31
도봉,절도,발생,1293
도봉,절도,검거,743
도봉,폭력,발생,3115
도봉,폭력,검거,2866
수서,살인,발생,4
수서,살인,검거,5
수서,강도,발생,64
수서,강도,검거,35
수서,강간,발생,48
수서,강간,검거,43
수서,절도,발생,1665
수서,절도,검거,632
수서,폭력,발생,3164
수서,폭력,검거,2629
