구분,죄종,발생검거,건수
중부,살인,발생,1
중부,살인,검거,1
중부,강도,발생,28
중부,강도,검거,24
중부,강간,발생,94
중부,강간,검거,78
중부,절도,발생,879
중부,절도,검거,850
중부,폭력,발생,1858
중부,폭력,검거,1794
종로,살인,발생,6
종로,살인,검거,6
종로,강도,발생,25
종로,강도,검거,26
종로,강간,발생,77
종로,강간,검거,78
종로,절도,발생,732
종로,절도,검거,547
종로,폭력,발생,1364
종로,폭력,검거,1282
남대문,살인,발생,2
남대문,살인,검거,4
남대문,강도,발생,15
남대문,강도,검거,21
남대문,강간,발생,52
남대문,강간,검거,51
남대문,절도,발생,683
남대문,절도,검거,715
남대문,폭력,발생,1146
남대문,폭력,검거,989
서대문,살인,발생,9
서대문,살인,검거,11
서대문,강도,발생,67
서대문,강도,검거,82
서대문,강간,발생,153
서대문,강간,검거,148
서대문,절도,발생,2098
서대문,절도,검거,1434
서대문,폭력,발생,2672
서대문,폭력,검거,2520
혜화,살인,발생,1
혜화,살인,검거,1
혜화,강도,발생,38
혜화,강도,검거,29
혜화,강간,발생,58
혜화,강간,검거,51
혜화,절도,발생,780
혜화,절도,검거,578
혜화,폭력,발생,1637
혜화,폭력,검거,1571
용산,살인,발생,11
용산,살인,검거,11
용산,강도,발생,44
용산,강도,검거,49
용산,강간,발생,95
용산,강간,검거,82
용산,절도,발생,1021
용산,절도,검거,876
용산,폭력,발생,1916
용산,폭력,검거,1837
성북,살인,발생,3
성북,살인,검거,4
성북,강도,발생,24
성북,강도,검거,20
성북,강간,발생,93
성북,강간,검거,78
성북,절도,발생,768
성북,절도,검거,554
성북,폭력,발생,1429
성북,폭력,검거,1386
동대문,살인,발생,10
동대문,살인,검거,10
동대문,강도,발생,81
동대문,강도,검거,77
동대문,강간,발생,120
동대문,강간,검거,108
동대문,절도,발생,1350
동대문,절도,검거,1203
동대문,폭력,발생,2909
동대문,폭력,검거,2876
마포,살인,발생,5
마포,살인,검거,4
마포,강도,발생,29
마포,강도,검거,24
마포,강간,발생,132
마포,강간,검거,125
마포,절도,발생,1065
마포,절도,검거,673
마포,폭력,발생,2817
마포,폭력,검거,2814
영등포,살인,발생,24
영등포,살인,검거,22
영등포,강도,발생,69
영등포,강도,검거,61
영등포,강간,발생,150
영등포,강간,검거,134
영등포,절도,발생,1584
영등포,절도,검거,984
영등포,폭력,발생,3592
영등포,폭력,검거,3459
성동,살인,발생,12
성동,살인,검거,12
성동,강도,발생,48
성동,강도,검거,45
성동,강간,발생,86
성동,강간,검거,89
성동,절도,발생,1321
성동,절도,검거,987
성동,폭력,발생,2046
성동,폭력,검거,1948
동작,살인,발생,9
동작,살인,검거,8
동작,강도,발생,50
동작,강도,검거,40
동작,강간,발생,194
동작,강간,검거,80
동작,절도,발생,1247
동작,절도,검거,637
동작,폭력,발생,2090
동작,폭력,검거,2011
광진,살인,발생,11
광진,살인,검거,11
광진,강도,발생,54
광진,강도,검거,64
광진,강간,발생,186
광진,강간,검거,160
광진,절도,발생,1814
광진,절도,검거,1096
광진,폭력,발생,2903
광진,폭력,검거,2659
서부,살인,발생,4
서부,살인,검거,4
서부,강도,발생,31
서부,강도,검거,37
서부,강간,발생,54
서부,강간,검거,54
서부,절도,발생,660
서부,절도,검거,654
서부,폭력,발생,1335
서부,폭력,검거,1294
강북,살인,발생,7
강북,살인,검거,7
강북,강도,발생,69
강북,강도,검거,76
강북,강간,발생,146
강북,강간,검거,144
강북,절도,발생,808
강북,절도,검거,683
강북,폭력,발생,2492
강북,폭력,검거,2442
금천,살인,발생,7
금천,살인,검거,7
금천,강도,발생,53
금천,강도,검거,41
금천,강간,발생,85
금천,강간,검거,75
금천,절도,발생,1319
금천,절도,검거,1077
금천,폭력,발생,2269
금천,폭력,검거,2151
중랑,살인,발생,15
중랑,살인,검거,14
중랑,강도,발생,74
중랑,강도,검거,62
중랑,강간,발생,130
중랑,강간,검거,129
중랑,절도,발생,1146
중랑,절도,검거,879
중랑,폭력,발생,3418
중랑,폭력,검거,3391
강남,살인,발생,10
강남,살인,검거,8
강남,강도,발생,92
강남,강도,검거,59
강남,강간,발생,193
강남,강간,검거,138
강남,절도,발생,1798
강남,절도,검거,766
강남,폭력,발생,3116
강남,폭력,검거,2872
관악,살인,발생,11
관악,살인,검거,12
관악,강도,발생,75
관악,강도,검거,67
관악,강간,발생,284
관악,강간,검거,200
관악,절도,발생,1718
관악,절도,검거,897
관악,폭력,발생,3526
관악,폭력,검거,3290
강서,살인,발생,10
강서,살인,검거,9
강서,강도,발생,76
강서,강도,검거,56
강서,강간,발생,148
강서,강간,검거,143
강서,절도,발생,1591
강서,절도,검거,1018
강서,폭력,발생,3497
강서,폭력,검거,3374
강동,살인,발생,6
강동,살인,검거,6
강동,강도,발생,39
강동,강도,검거,57
강동,강간,발생,129
강동,강간,검거,130
강동,절도,발생,1110
강동,절도,검거,1621
강동,폭력,발생,3103
강동,폭력,검거,3024
종암,살인,발생,2
종암,살인,검거,3
종암,강도,발생,42
종암,강도,검거,27
종암,강간,발생,47
종암,강간,검거,48
종암,절도,발생,616
종암,절도,검거,460
종암,폭력,발생,1205
종암,폭력,검거,1175
구로,살인,발생,16
구로,살인,검거,14
구로,강도,발생,55
구로,강도,검거,70
구로,강간,발생,212
구로,강간,검거,144
구로,절도,발생,1533
구로,절도,검거,915
구로,폭력,발생,3192
구로,폭력,검거,3044
서초,살인,발생,10
서초,살인,검거,7
서초,강도,발생,69
서초,강도,검거,44
서초,강간,발생,151
서초,강간,검거,103
서초,절도,발생,1274
서초,절도,검거,838
서초,폭력,발생,2037
서초,폭력,검거,1926
양천,살인,발생,8
양천,살인,검거,7
양천,강도,발생,36
양천,강도,검거,42
양천,강간,발생,103
양천,강간,검거,87
양천,절도,발생,1359
양천,절도,검거,928
양천,폭력,발생,2214
양천,폭력,검거,2090
송파,살인,발생,8
송파,살인,검거,8
송파,강도,발생,83
송파,강도,검거,68
송파,강간,발생,185
송파,강간,검거,149
송파,절도,발생,1943
송파,절도,검거,1161
송파,폭력,발생,3799
송파,폭력,검거,3588
노원,살인,발생,12
노원,살인,검거,12
노원,강도,발생,42
노원,강도,검거,39
노원,강간,발생,126
노원,강간,검거,116
노원,절도,발생,1263
노원,절도,검거,1141
노원,폭력,발생,2898
