구분,죄종,발생검거,건수
중부,살인,발생,5
중부,살인,검거,5
중부,강도,발생,16
중부,강도,검거,11
중부,강간,발생,117
중부,강간,검거,70
중부,절도,발생,1108
중부,절도,검거,805
중부,폭력,발생,1743
중부,폭력,검거,1566
종로,살인,발생,5
종로,살인,검거,3
종로,강도,발생,15
종로,강도,검거,13
종로,강간,발생,98
종로,강간,검거,79
종로,절도,발생,911
종로,절도,검거,516
종로,폭력,발생,1289
종로,폭력,검거,1120
남대문,살인,발생,3
남대문,살인,검거,3
남대문,강도,발생,10
남대문,강도,검거,8
남대문,강간,발생,56
남대문,강간,검거,42
남대문,절도,발생,751
남대문,절도,검거,407
남대문,폭력,발생,982
남대문,폭력,검거,907
서대문,살인,발생,18
서대문,살인,검거,20
서대문,강도,발생,24
서대문,강도,검거,27
서대문,강간,발생,140
서대문,강간,검거,122
서대문,절도,발생,1739
서대문,절도,검거,992
서대문,폭력,발생,2030
서대문,폭력,검거,1780
혜화,살인,발생,2
혜화,살인,검거,2
혜화,강도,발생,18
혜화,강도,검거,18
혜화,강간,발생,103
혜화,강간,검거,84
혜화,절도,발생,804
혜화,절도,검거,617
혜화,폭력,발생,1488
혜화,폭력,검거,1339
용산,살인,발생,9
용산,살인,검거,8
용산,강도,발생,40
용산,강도,검거,35
용산,강간,발생,131
용산,강간,검거,120
용산,절도,발생,1207
용산,절도,검거,726
용산,폭력,발생,1936
용산,폭력,검거,1685
성북,살인,발생,9
성북,살인,검거,9
성북,강도,발생,18
성북,강도,검거,17
성북,강간,발생,89
성북,강간,검거,57
성북,절도,발생,1159
성북,절도,검거,580
성북,폭력,발생,1265
성북,폭력,검거,1026
동대문,살인,발생,13
동대문,살인,검거,13
동대문,강도,발생,57
동대문,강도,검거,69
동대문,강간,발생,157
동대문,강간,검거,153
동대문,절도,발생,1791
동대문,절도,검거,1161
동대문,폭력,발생,2738
동대문,폭력,검거,2469
마포,살인,발생,1
마포,살인,검거,1
마포,강도,발생,27
마포,강도,검거,17
마포,강간,발생,175
마포,강간,검거,159
마포,절도,발생,1685
마포,절도,검거,824
마포,폭력,발생,2661
마포,폭력,검거,2418
영등포,살인,발생,34
영등포,살인,검거,32
영등포,강도,발생,74
영등포,강도,검거,57
영등포,강간,발생,244
영등포,강간,검거,197
영등포,절도,발생,2648
영등포,절도,검거,1246
영등포,폭력,발생,3922
영등포,폭력,검거,3416
성동,살인,발생,11
성동,살인,검거,10
성동,강도,발생,29
성동,강도,검거,29
성동,강간,발생,99
성동,강간,검거,76
성동,절도,발생,1360
성동,절도,검거,895
성동,폭력,발생,1790
성동,폭력,검거,1550
동작,살인,발생,8
동작,살인,검거,9
동작,강도,발생,36
동작,강도,검거,27
동작,강간,발생,272
동작,강간,검거,101
동작,절도,발생,1680
동작,절도,검거,693
동작,폭력,발생,2073
동작,폭력,검거,1807
광진,살인,발생,11
광진,살인,검거,10
광진,강도,발생,52
광진,강도,검거,44
광진,강간,발생,230
광진,강간,검거,198
광진,절도,발생,2504
광진,절도,검거,1836
광진,폭력,발생,2735
광진,폭력,검거,2382
서부,살인,발생,7
서부,살인,검거,8
서부,강도,발생,12
서부,강도,검거,8
서부,강간,발생,83
서부,강간,검거,79
서부,절도,발생,775
서부,절도,검거,534
서부,폭력,발생,1194
서부,폭력,검거,1065
강북,살인,발생,7
강북,살인,검거,6
강북,강도,발생,37
강북,강도,검거,30
강북,강간,발생,156
강북,강간,검거,144
강북,절도,발생,1381
강북,절도,검거,602
강북,폭력,발생,2583
강북,폭력,검거,2311
금천,살인,발생,8
금천,살인,검거,6
금천,강도,발생,35
금천,강도,검거,53
금천,강간,발생,120
금천,강간,검거,107
금천,절도,발생,1522
금천,절도,검거,925
금천,폭력,발생,1976
금천,폭력,검거,1727
중랑,살인,발생,13
중랑,살인,검거,14
중랑,강도,발생,33
중랑,강도,검거,25
중랑,강간,발생,190
중랑,강간,검거,164
중랑,절도,발생,1745
중랑,절도,검거,924
중랑,폭력,발생,3607
중랑,폭력,검거,3267
강남,살인,발생,12
강남,살인,검거,11
강남,강도,발생,63
강남,강도,검거,44
강남,강간,발생,260
강남,강간,검거,147
강남,절도,발생,2419
강남,절도,검거,770
강남,폭력,발생,3073
강남,폭력,검거,2677
관악,살인,발생,13
관악,살인,검거,13
관악,강도,발생,57
관악,강도,검거,53
관악,강간,발생,403
관악,강간,검거,234
관악,절도,발생,2273
관악,절도,검거,935
관악,폭력,발생,3404
관악,폭력,검거,2971
강서,살인,발생,7
강서,살인,검거,8
강서,강도,발생,58
강서,강도,검거,66
강서,강간,발생,225
강서,강간,검거,192
강서,절도,발생,2710
강서,절도,검거,1394
강서,폭력,발생,3219
강서,폭력,검거,2790
강동,살인,발생,18
강동,살인,검거,16
강동,강도,발생,38
강동,강도,검거,37
강동,강간,발생,169
강동,강간,검거,144
강동,절도,발생,1970
강동,절도,검거,1338
강동,폭력,발생,2835
강동,폭력,검거,2517
종암,살인,발생,6
종암,살인,검거,6
종암,강도,발생,15
종암,강도,검거,11
종암,강간,발생,59
종암,강간,검거,65
종암,절도,발생,854
종암,절도,검거,547
종암,폭력,발생,1081
종암,폭력,검거,974
구로,살인,발생,17
구로,살인,검거,17
구로,강도,발생,40
구로,강도,검거,38
구로,강간,발생,229
구로,강간,검거,148
구로,절도,발생,2259
구로,절도,검거,1206
구로,폭력,발생,2901
구로,폭력,검거,2546
서초,살인,발생,9
서초,살인,검거,7
서초,강도,발생,34
서초,강도,검거,21
서초,강간,발생,268
서초,강간,검거,122
서초,절도,발생,1561
서초,절도,검거,698
서초,폭력,발생,2059
서초,폭력,검거,1811
양천,살인,발생,9
양천,살인,검거,10
양천,강도,발생,34
양천,강도,검거,23
양천,강간,발생,109
양천,강간,검거,107
양천,절도,발생,1583
양천,절도,검거,683
양천,폭력,발생,2164
양천,폭력,검거,1868
송파,살인,발생,9
송파,살인,검거,7
송파,강도,발생,48
송파,강도,검거,32
송파,강간,발생,260
송파,강간,검거,201
송파,절도,발생,3447
송파,절도,검거,1095
송파,폭력,발생,3659
송파,폭력,검거,3018
노원,살인,발생,16
노원,살인,검거,16
노원,강도,발생,37
노원,강도,검거,32
노원,강간,발생,149
노원,강간,검거,132
노원,절도,발생,1531
노원,절도,검거,1082
노원,폭력,발생,2635
노원,폭력,검거,2384
방배,살인,발생,2
방배,살인,검거,1
방배,강도,발생,10
방배,강도,검거,12
방배,강간,발생,80
방배,강간,검거,49
방배,절도,발생,483
방배,절도,검거,363
방배,폭력,발생,658
방배,폭력,검거,582
은평,살인,발생,4
