구분,죄종,발생검거,건수
중부,살인,발생,0
중부,살인,검거,0
중부,강도,발생,46
중부,강도,검거,50
중부,강간,발생,70
중부,강간,검거,20
중부,절도,발생,1077
중부,절도,검거,645
중부,폭력,발생,1296
중부,폭력,검거,1177
종로,살인,발생,3
종로,살인,검거,3
종로,강도,발생,33
종로,강도,검거,32
종로,강간,발생,36
종로,강간,검거,34
종로,절도,발생,754
종로,절도,검거,590
종로,폭력,발생,1402
종로,폭력,검거,1256
남대문,살인,발생,2
남대문,살인,검거,2
남대문,강도,발생,37
남대문,강도,검거,36
남대문,강간,발생,26
남대문,강간,검거,19
남대문,절도,발생,1057
남대문,절도,검거,862
남대문,폭력,발생,1185
남대문,폭력,검거,1110
서대문,살인,발생,3
서대문,살인,검거,2
서대문,강도,발생,156
서대문,강도,검거,147
서대문,강간,발생,46
서대문,강간,검거,43
서대문,절도,발생,1812
서대문,절도,검거,1357
서대문,폭력,발생,1765
서대문,폭력,검거,1611
혜화,살인,발생,5
혜화,살인,검거,6
혜화,강도,발생,45
혜화,강도,검거,41
혜화,강간,발생,94
혜화,강간,검거,38
혜화,절도,발생,1435
혜화,절도,검거,1059
혜화,폭력,발생,1890
혜화,폭력,검거,1753
용산,살인,발생,14
용산,살인,검거,12
용산,강도,발생,105
용산,강도,검거,127
용산,강간,발생,55
용산,강간,검거,46
용산,절도,발생,1696
용산,절도,검거,1400
용산,폭력,발생,2092
용산,폭력,검거,1788
성북,살인,발생,4
성북,살인,검거,5
성북,강도,발생,36
성북,강도,검거,33
성북,강간,발생,38
성북,강간,검거,27
성북,절도,발생,707
성북,절도,검거,912
성북,폭력,발생,1549
성북,폭력,검거,1409
동대문,살인,발생,8
동대문,살인,검거,10
동대문,강도,발생,120
동대문,강도,검거,143
동대문,강간,발생,90
동대문,강간,검거,78
동대문,절도,발생,2074
동대문,절도,검거,2076
동대문,폭력,발생,3448
동대문,폭력,검거,3453
마포,살인,발생,7
마포,살인,검거,6
마포,강도,발생,104
마포,강도,검거,86
마포,강간,발생,54
마포,강간,검거,46
마포,절도,발생,2873
마포,절도,검거,1777
마포,폭력,발생,3374
마포,폭력,검거,3032
영등포,살인,발생,8
영등포,살인,검거,9
영등포,강도,발생,76
영등포,강도,검거,63
영등포,강간,발생,54
영등포,강간,검거,49
영등포,절도,발생,2415
영등포,절도,검거,2226
영등포,폭력,발생,2493
영등포,폭력,검거,2261
성동,살인,발생,2
성동,살인,검거,2
성동,강도,발생,67
성동,강도,검거,70
성동,강간,발생,45
성동,강간,검거,28
성동,절도,발생,2087
성동,절도,검거,2507
성동,폭력,발생,2462
성동,폭력,검거,2257
동작,살인,발생,9
동작,살인,검거,10
동작,강도,발생,83
동작,강도,검거,45
동작,강간,발생,64
동작,강간,검거,64
동작,절도,발생,2348
동작,절도,검거,2074
동작,폭력,발생,2384
동작,폭력,검거,2138
광진,살인,발생,6
광진,살인,검거,8
광진,강도,발생,168
광진,강도,검거,155
광진,강간,발생,113
광진,강간,검거,74
광진,절도,발생,3112
광진,절도,검거,2026
광진,폭력,발생,4046
광진,폭력,검거,3578
서부,살인,발생,3
서부,살인,검거,4
서부,강도,발생,64
서부,강도,검거,97
서부,강간,발생,47
서부,강간,검거,45
서부,절도,발생,2045
서부,절도,검거,1529
서부,폭력,발생,2330
서부,폭력,검거,2180
강북,살인,발생,9
강북,살인,검거,8
강북,강도,발생,121
강북,강도,검거,151
강북,강간,발생,66
강북,강간,검거,59
강북,절도,발생,2148
강북,절도,검거,2104
강북,폭력,발생,2988
강북,폭력,검거,2714
금천,살인,발생,15
금천,살인,검거,14
금천,강도,발생,112
금천,강도,검거,96
금천,강간,발생,68
금천,강간,검거,54
금천,절도,발생,2321
금천,절도,검거,1465
금천,폭력,발생,3887
금천,폭력,검거,3456
중랑,살인,발생,11
중랑,살인,검거,13
중랑,강도,발생,96
중랑,강도,검거,110
중랑,강간,발생,72
중랑,강간,검거,58
중랑,절도,발생,2735
중랑,절도,검거,1671
중랑,폭력,발생,4319
중랑,폭력,검거,3814
강남,살인,발생,7
강남,살인,검거,10
강남,강도,발생,139
강남,강도,검거,146
강남,강간,발생,117
강남,강간,검거,90
강남,절도,발생,2549
강남,절도,검거,2074
강남,폭력,발생,3556
강남,폭력,검거,3455
관악,살인,발생,4
관악,살인,검거,3
관악,강도,발생,82
관악,강도,검거,105
관악,강간,발생,126
관악,강간,검거,67
관악,절도,발생,2632
관악,절도,검거,1058
관악,폭력,발생,3005
관악,폭력,검거,2704
강서,살인,발생,5
강서,살인,검거,5
강서,강도,발생,206
강서,강도,검거,203
강서,강간,발생,64
강서,강간,검거,56
강서,절도,발생,2088
강서,절도,검거,1218
강서,폭력,발생,3719
강서,폭력,검거,3493
강동,살인,발생,6
강동,살인,검거,6
강동,강도,발생,234
강동,강도,검거,237
강동,강간,발생,64
강동,강간,검거,60
강동,절도,발생,1775
강동,절도,검거,1088
강동,폭력,발생,3377
강동,폭력,검거,3145
종암,살인,발생,2
종암,살인,검거,4
종암,강도,발생,99
종암,강도,검거,102
종암,강간,발생,53
종암,강간,검거,53
종암,절도,발생,1298
종암,절도,검거,900
종암,폭력,발생,2408
종암,폭력,검거,2236
구로,살인,발생,6
구로,살인,검거,6
구로,강도,발생,68
구로,강도,검거,84
구로,강간,발생,126
구로,강간,검거,53
구로,절도,발생,2034
구로,절도,검거,1247
구로,폭력,발생,2952
구로,폭력,검거,2622
서초,살인,발생,6
서초,살인,검거,6
서초,강도,발생,139
서초,강도,검거,133
서초,강간,발생,130
서초,강간,검거,68
서초,절도,발생,1405
서초,절도,검거,1345
서초,폭력,발생,2187
서초,폭력,검거,2140
양천,살인,발생,7
양천,살인,검거,7
양천,강도,발생,33
양천,강도,검거,31
양천,강간,발생,55
양천,강간,검거,49
양천,절도,발생,2215
양천,절도,검거,1801
양천,폭력,발생,2882
양천,폭력,검거,2561
송파,살인,발생,6
송파,살인,검거,7
송파,강도,발생,96
송파,강도,검거,127
송파,강간,발생,51
송파,강간,검거,48
송파,절도,발생,1596
송파,절도,검거,1404
송파,폭력,발생,2873
송파,폭력,검거,2684
노원,살인,발생,3
노원,살인,검거,4
노원,강도,발생,30
노원,강도,검거,49
노원,강간,발생,48
노원,강간,검거,44
노원,절도,발생,1238
노원,절도,검거,855
노원,폭력,발생,2526
노원,폭력,검거,2367
방배,살인,발생,2
방배,살인,검거,3
방배,강도,발생,45
방배,강도,검거,67
방배,강간,발생,115
방배,강간,검거,30
방배,절도,발생,1207
방배,절도,검거,676
방배,폭력,발생,1658
방배,폭력,검거,1492
은평,살인,발생,5
은평,살인,검거,6
은평,강도,발생,33
은평,강도,검거,38
은평,강간,발생,22
은평,강간,검거,21
은평,절도,발생,1672
은평,절도,검거,1182
은평,폭력,발생,2117
은평,폭력,검거,1917
도봉,살인,발생,2
도봉,살인,검거,2
도봉,강도,발생,45
도봉,강도,검거,47
도봉,강간,발생,57
도봉,강간,검거,49
도봉,절도,발생,1608
도봉,절도,검거,1015
도봉,폭력,발생,3047
도봉,폭력,검거,2769
수서,살인,발생,5
수서,살인,검거,4
수서,강도,발생,122
수서,강도,검거,98
수서,강간,발생,34
수서,강간,검거,30
수서,절도,발생,1694
수서,절도,검거,1000
수서,폭력,발생,2693
수서,폭력,검거,2431
