구분,죄종,발생검거,건수
중부,살인,발생,4
중부,살인,검거,4
중부,강도,발생,28
중부,강도,검거,18
중부,강간,발생,121
중부,강간,검거,77
중부,절도,발생,723
중부,절도,검거,569
중부,폭력,발생,1909
중부,폭력,검거,1831
종로,살인,발생,7
종로,살인,검거,7
종로,강도,발생,22
종로,강도,검거,26
종로,강간,발생,67
종로,강간,검거,56
종로,절도,발생,547
종로,절도,검거,377
종로,폭력,발생,1594
종로,폭력,검거,1377
남대문,살인,발생,2
남대문,살인,검거,2
남대문,강도,발생,10
남대문,강도,검거,24
남대문,강간,발생,50
남대문,강간,검거,39
남대문,절도,발생,559
남대문,절도,검거,471
남대문,폭력,발생,1042
남대문,폭력,검거,1000
서대문,살인,발생,7
서대문,살인,검거,6
서대문,강도,발생,30
서대문,강도,검거,19
서대문,강간,발생,147
서대문,강간,검거,115
서대문,절도,발생,1397
서대문,절도,검거,663
서대문,폭력,발생,2205
서대문,폭력,검거,2085
혜화,살인,발생,5
혜화,살인,검거,6
혜화,강도,발생,19
혜화,강도,검거,9
혜화,강간,발생,117
혜화,강간,검거,75
혜화,절도,발생,472
혜화,절도,검거,584
혜화,폭력,발생,1840
혜화,폭력,검거,1848
용산,살인,발생,9
용산,살인,검거,8
용산,강도,발생,40
용산,강도,검거,20
용산,강간,발생,81
용산,강간,검거,77
용산,절도,발생,626
용산,절도,검거,542
용산,폭력,발생,1628
용산,폭력,검거,1586
성북,살인,발생,5
성북,살인,검거,4
성북,강도,발생,29
성북,강도,검거,19
성북,강간,발생,88
성북,강간,검거,57
성북,절도,발생,692
성북,절도,검거,358
성북,폭력,발생,1343
성북,폭력,검거,1287
동대문,살인,발생,10
동대문,살인,검거,9
동대문,강도,발생,41
동대문,강도,검거,37
동대문,강간,발생,119
동대문,강간,검거,116
동대문,절도,발생,734
동대문,절도,검거,624
동대문,폭력,발생,2985
동대문,폭력,검거,2966
마포,살인,발생,4
마포,살인,검거,4
마포,강도,발생,45
마포,강도,검거,39
마포,강간,발생,128
마포,강간,검거,130
마포,절도,발생,1264
마포,절도,검거,560
마포,폭력,발생,2666
마포,폭력,검거,2378
영등포,살인,발생,12
영등포,살인,검거,10
영등포,강도,발생,52
영등포,강도,검거,54
영등포,강간,발생,159
영등포,강간,검거,136
영등포,절도,발생,1336
영등포,절도,검거,828
영등포,폭력,발생,3252
영등포,폭력,검거,3119
성동,살인,발생,5
성동,살인,검거,5
성동,강도,발생,33
성동,강도,검거,54
성동,강간,발생,88
성동,강간,검거,87
성동,절도,발생,973
성동,절도,검거,809
성동,폭력,발생,2026
성동,폭력,검거,1949
동작,살인,발생,7
동작,살인,검거,9
동작,강도,발생,41
동작,강도,검거,35
동작,강간,발생,144
동작,강간,검거,91
동작,절도,발생,818
동작,절도,검거,538
동작,폭력,발생,2162
동작,폭력,검거,2058
광진,살인,발생,7
광진,살인,검거,7
광진,강도,발생,77
광진,강도,검거,49
광진,강간,발생,149
광진,강간,검거,130
광진,절도,발생,1859
광진,절도,검거,824
광진,폭력,발생,2784
광진,폭력,검거,2576
서부,살인,발생,3
서부,살인,검거,4
서부,강도,발생,15
서부,강도,검거,32
서부,강간,발생,47
서부,강간,검거,52
서부,절도,발생,635
서부,절도,검거,335
서부,폭력,발생,1278
서부,폭력,검거,1270
강북,살인,발생,5
강북,살인,검거,7
강북,강도,발생,78
강북,강도,검거,72
강북,강간,발생,92
강북,강간,검거,82
강북,절도,발생,698
강북,절도,검거,629
강북,폭력,발생,2428
강북,폭력,검거,2416
금천,살인,발생,5
금천,살인,검거,6
금천,강도,발생,33
금천,강도,검거,24
금천,강간,발생,80
금천,강간,검거,72
금천,절도,발생,982
금천,절도,검거,595
금천,폭력,발생,2465
금천,폭력,검거,2293
중랑,살인,발생,11
중랑,살인,검거,13
중랑,강도,발생,53
중랑,강도,검거,71
중랑,강간,발생,119
중랑,강간,검거,107
중랑,절도,발생,1050
중랑,절도,검거,1005
중랑,폭력,발생,3160
중랑,폭력,검거,3141
강남,살인,발생,5
강남,살인,검거,6
강남,강도,발생,65
강남,강도,검거,33
강남,강간,발생,168
강남,강간,검거,124
강남,절도,발생,1014
강남,절도,검거,461
강남,폭력,발생,2853
강남,폭력,검거,2666
관악,살인,발생,5
관악,살인,검거,4
관악,강도,발생,63
관악,강도,검거,44
관악,강간,발생,236
관악,강간,검거,129
관악,절도,발생,1628
관악,절도,검거,663
관악,폭력,발생,3192
관악,폭력,검거,2960
강서,살인,발생,16
강서,살인,검거,15
강서,강도,발생,43
강서,강도,검거,40
강서,강간,발생,137
강서,강간,검거,117
강서,절도,발생,1267
강서,절도,검거,710
강서,폭력,발생,3186
강서,폭력,검거,3053
강동,살인,발생,4
강동,살인,검거,3
강동,강도,발생,35
강동,강도,검거,42
강동,강간,발생,117
강동,강간,검거,117
강동,절도,발생,672
강동,절도,검거,604
강동,폭력,발생,2619
강동,폭력,검거,2574
종암,살인,발생,6
종암,살인,검거,4
종암,강도,발생,23
종암,강도,검거,30
종암,강간,발생,44
종암,강간,검거,52
