구분,죄종,발생검거,건수
중부,살인,발생,2
중부,살인,검거,3
중부,강도,발생,10
중부,강도,검거,8
중부,강간,발생,89
중부,강간,검거,38
중부,절도,발생,505
중부,절도,검거,369
중부,폭력,발생,1328
중부,폭력,검거,1224
종로,살인,발생,3
종로,살인,검거,3
종로,강도,발생,24
종로,강도,검거,17
종로,강간,발생,59
종로,강간,검거,49
종로,절도,발생,523
종로,절도,검거,341
종로,폭력,발생,1370
종로,폭력,검거,1288
남대문,살인,발생,1
남대문,살인,검거,1
남대문,강도,발생,10
남대문,강도,검거,6
남대문,강간,발생,29
남대문,강간,검거,31
남대문,절도,발생,357
남대문,절도,검거,294
남대문,폭력,발생,908
남대문,폭력,검거,891
서대문,살인,발생,5
서대문,살인,검거,4
서대문,강도,발생,43
서대문,강도,검거,70
서대문,강간,발생,97
서대문,강간,검거,88
서대문,절도,발생,1161
서대문,절도,검거,632
서대문,폭력,발생,1842
서대문,폭력,검거,1701
혜화,살인,발생,2
혜화,살인,검거,2
혜화,강도,발생,15
혜화,강도,검거,14
혜화,강간,발생,103
혜화,강간,검거,69
혜화,절도,발생,698
혜화,절도,검거,744
혜화,폭력,발생,2051
혜화,폭력,검거,1999
용산,살인,발생,9
용산,살인,검거,9
용산,강도,발생,56
용산,강도,검거,50
용산,강간,발생,83
용산,강간,검거,87
용산,절도,발생,602
용산,절도,검거,542
용산,폭력,발생,1766
용산,폭력,검거,1756
성북,살인,발생,5
성북,살인,검거,6
성북,강도,발생,22
성북,강도,검거,28
성북,강간,발생,62
성북,강간,검거,44
성북,절도,발생,796
성북,절도,검거,503
성북,폭력,발생,1391
성북,폭력,검거,1322
동대문,살인,발생,3
동대문,살인,검거,3
동대문,강도,발생,63
동대문,강도,검거,43
동대문,강간,발생,106
동대문,강간,검거,104
동대문,절도,발생,794
동대문,절도,검거,753
동대문,폭력,발생,2936
동대문,폭력,검거,2907
마포,살인,발생,4
마포,살인,검거,5
마포,강도,발생,71
마포,강도,검거,39
마포,강간,발생,107
마포,강간,검거,86
마포,절도,발생,1823
마포,절도,검거,609
마포,폭력,발생,2983
마포,폭력,검거,2699
영등포,살인,발생,4
영등포,살인,검거,3
영등포,강도,발생,30
영등포,강도,검거,26
영등포,강간,발생,87
영등포,강간,검거,80
영등포,절도,발생,938
영등포,절도,검거,645
영등포,폭력,발생,2429
영등포,폭력,검거,2317
성동,살인,발생,6
성동,살인,검거,6
성동,강도,발생,56
성동,강도,검거,16
성동,강간,발생,72
성동,강간,검거,56
성동,절도,발생,1406
성동,절도,검거,698
성동,폭력,발생,2290
성동,폭력,검거,2158
동작,살인,발생,11
동작,살인,검거,8
동작,강도,발생,66
동작,강도,검거,42
동작,강간,발생,102
동작,강간,검거,89
동작,절도,발생,1343
동작,절도,검거,601
동작,폭력,발생,2382
동작,폭력,검거,2245
광진,살인,발생,16
광진,살인,검거,16
광진,강도,발생,72
광진,강도,검거,91
광진,강간,발생,156
광진,강간,검거,135
광진,절도,발생,1434
광진,절도,검거,884
광진,폭력,발생,3219
광진,폭력,검거,3153
서부,살인,발생,6
서부,살인,검거,5
서부,강도,발생,37
서부,강도,검거,24
서부,강간,발생,54
서부,강간,검거,49
서부,절도,발생,1003
서부,절도,검거,630
서부,폭력,발생,2161
서부,폭력,검거,2084
강북,살인,발생,10
강북,살인,검거,9
강북,강도,발생,28
강북,강도,검거,25
강북,강간,발생,82
강북,강간,검거,74
강북,절도,발생,659
강북,절도,검거,460
강북,폭력,발생,2650
강북,폭력,검거,2619
금천,살인,발생,14
금천,살인,검거,14
금천,강도,발생,139
금천,강도,검거,108
금천,강간,발생,91
금천,강간,검거,80
금천,절도,발생,1854
금천,절도,검거,770
금천,폭력,발생,3664
금천,폭력,검거,3356
중랑,살인,발생,14
중랑,살인,검거,15
중랑,강도,발생,72
중랑,강도,검거,68
중랑,강간,발생,103
중랑,강간,검거,84
중랑,절도,발생,1066
중랑,절도,검거,747
중랑,폭력,발생,3567
중랑,폭력,검거,3549
강남,살인,발생,8
강남,살인,검거,10
강남,강도,발생,124
강남,강도,검거,125
강남,강간,발생,160
강남,강간,검거,138
강남,절도,발생,1573
강남,절도,검거,1098
강남,폭력,발생,3545
강남,폭력,검거,3307
관악,살인,발생,5
관악,살인,검거,4
관악,강도,발생,68
관악,강도,검거,43
관악,강간,발생,144
관악,강간,검거,82
관악,절도,발생,1727
관악,절도,검거,678
관악,폭력,발생,2730
관악,폭력,검거,2503
강서,살인,발생,10
강서,살인,검거,8
강서,강도,발생,86
강서,강도,검거,65
강서,강간,발생,112
강서,강간,검거,93
강서,절도,발생,1722
강서,절도,검거,866
강서,폭력,발생,3485
강서,폭력,검거,3295
강동,살인,발생,5
강동,살인,검거,6
강동,강도,발생,34
강동,강도,검거,30
강동,강간,발생,86
강동,강간,검거,82
강동,절도,발생,887
강동,절도,검거,1210
강동,폭력,발생,2729
강동,폭력,검거,2759
종암,살인,발생,6
종암,살인,검거,5
종암,강도,발생,34
종암,강도,검거,50
종암,강간,발생,95
종암,강간,검거,91
종암,절도,발생,943
종암,절도,검거,904
종암,폭력,발생,2251
종암,폭력,검거,2167
구로,살인,발생,10
구로,살인,검거,11
구로,강도,발생,59
구로,강도,검거,39
구로,강간,발생,142
구로,강간,검거,98
구로,절도,발생,1657
구로,절도,검거,581
구로,폭력,발생,3205
구로,폭력,검거,2957
서초,살인,발생,7
서초,살인,검거,6
서초,강도,발생,47
서초,강도,검거,35
서초,강간,발생,143
서초,강간,검거,85
서초,절도,발생,1017
서초,절도,검거,973
서초,폭력,발생,2372
서초,폭력,검거,2206
양천,살인,발생,12
양천,살인,검거,10
양천,강도,발생,39
양천,강도,검거,18
양천,강간,발생,79
양천,강간,검거,75
양천,절도,발생,1126
양천,절도,검거,772
양천,폭력,발생,2703
양천,폭력,검거,2446
송파,살인,발생,10
송파,살인,검거,9
송파,강도,발생,35
송파,강도,검거,28
송파,강간,발생,68
송파,강간,검거,65
송파,절도,발생,1406
송파,절도,검거,444
송파,폭력,발생,2561
송파,폭력,검거,2366
노원,살인,발생,10
노원,살인,검거,11
노원,강도,발생,17
노원,강도,검거,14
노원,강간,발생,60
노원,강간,검거,61
노원,절도,발생,1200
노원,절도,검거,981
노원,폭력,발생,2232
노원,폭력,검거,2193
방배,살인,발생,3
방배,살인,검거,3
방배,강도,발생,30
방배,강도,검거,34
방배,강간,발생,135
방배,강간,검거,59
방배,절도,발생,663
방배,절도,검거,348
방배,폭력,발생,1480
방배,폭력,검거,1423
은평,살인,발생,7
은평,살인,검거,6
은평,강도,발생,23
은평,강도,검거,25
은평,강간,발생,50
은평,강간,검거,52
은평,절도,발생,596
은평,절도,검거,483
은평,폭력,발생,1760
은평,폭력,검거,1766
도봉,살인,발생,6
도봉,살인,검거,7
도봉,강도,발생,23
도봉,강도,검거,27
도봉,강간,발생,64
도봉,강간,검거,58
도봉,절도,발생,1037
도봉,절도,검거,832
도봉,폭력,발생,2607
도봉,폭력,검거,2569
수서,살인,발생,5
수서,살인,검거,5
수서,강도,발생,48
수서,강도,검거,35
수서,강간,발생,93
수서,강간,검거,81
수서,절도,발생,1441
수서,절도,검거,893
수서,폭력,발생,2207
수서,폭력,검거,2010
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
