구분,죄종,발생검거,건수
중부,살인,발생,3
중부,살인,검거,2
중부,강도,발생,8
중부,강도,검거,8
중부,강간,발생,143
중부,강간,검거,105
중부,절도,발생,1364
중부,절도,검거,408
중부,폭력,발생,1414
중부,폭력,검거,1229
종로,살인,발생,3
종로,살인,검거,2
종로,강도,발생,6
종로,강도,검거,3
종로,강간,발생,122
종로,강간,검거,90
종로,절도,발생,975
종로,절도,검거,371
종로,폭력,발생,1283
종로,폭력,검거,1114
남대문,살인,발생,3
남대문,살인,검거,3
남대문,강도,발생,5
남대문,강도,검거,5
남대문,강간,발생,78
남대문,강간,검거,56
남대문,절도,발생,1212
남대문,절도,검거,479
남대문,폭력,발생,1001
남대문,폭력,검거,893
서대문,살인,발생,3
서대문,살인,검거,3
서대문,강도,발생,4
서대문,강도,검거,7
서대문,강간,발생,185
서대문,강간,검거,150
서대문,절도,발생,1883
서대문,절도,검거,665
서대문,폭력,발생,2119
서대문,폭력,검거,1763
혜화,살인,발생,0
혜화,살인,검거,0
혜화,강도,발생,6
혜화,강도,검거,5
혜화,강간,발생,104
혜화,강간,검거,61
혜화,절도,발생,1297
혜화,절도,검거,695
혜화,폭력,발생,1225
혜화,폭력,검거,1087
용산,살인,발생,1
용산,살인,검거,2
용산,강도,발생,7
용산,강도,검거,7
용산,강간,발생,213
용산,강간,검거,169
용산,절도,발생,1560
용산,절도,검거,522
용산,폭력,발생,2018
용산,폭력,검거,1640
성북,살인,발생,6
성북,살인,검거,3
성북,강도,발생,7
성북,강도,검거,5
성북,강간,발생,93
성북,강간,검거,77
성북,절도,발생,1141
성북,절도,검거,362
성북,폭력,발생,1215
성북,폭력,검거,1033
동대문,살인,발생,12
동대문,살인,검거,11
동대문,강도,발생,13
동대문,강도,검거,8
동대문,강간,발생,141
동대문,강간,검거,112
동대문,절도,발생,1809
동대문,절도,검거,676
동대문,폭력,발생,2388
동대문,폭력,검거,2075
마포,살인,발생,4
마포,살인,검거,4
마포,강도,발생,22
마포,강도,검거,9
마포,강간,발생,265
마포,강간,검거,218
마포,절도,발생,2763
마포,절도,검거,742
마포,폭력,발생,2686
마포,폭력,검거,2163
영등포,살인,발생,14
영등포,살인,검거,15
영등포,강도,발생,10
영등포,강도,검거,5
영등포,강간,발생,250
영등포,강간,검거,183
영등포,절도,발생,3080
영등포,절도,검거,892
영등포,폭력,발생,3649
영등포,폭력,검거,2977
성동,살인,발생,1
성동,살인,검거,1
성동,강도,발생,5
성동,강도,검거,6
성동,강간,발생,141
성동,강간,검거,103
성동,절도,발생,1753
성동,절도,검거,529
성동,폭력,발생,1682
성동,폭력,검거,1409
동작,살인,발생,2
동작,살인,검거,2
동작,강도,발생,9
동작,강도,검거,7
동작,강간,발생,203
동작,강간,검거,120
동작,절도,발생,1787
동작,절도,검거,603
동작,폭력,발생,1868
동작,폭력,검거,1580
광진,살인,발생,8
광진,살인,검거,9
광진,강도,발생,16
광진,강도,검거,22
광진,강간,발생,249
광진,강간,검거,199
광진,절도,발생,3167
광진,절도,검거,1001
광진,폭력,발생,2828
광진,폭력,검거,2300
서부,살인,발생,0
서부,살인,검거,0
서부,강도,발생,13
서부,강도,검거,11
서부,강간,발생,74
서부,강간,검거,57
서부,절도,발생,1010
서부,절도,검거,365
서부,폭력,발생,1303
서부,폭력,검거,1065
강북,살인,발생,6
강북,살인,검거,5
강북,강도,발생,21
강북,강도,검거,10
강북,강간,발생,189
강북,강간,검거,152
강북,절도,발생,1494
강북,절도,검거,575
강북,폭력,발생,2320
강북,폭력,검거,2064
금천,살인,발생,7
금천,살인,검거,7
금천,강도,발생,9
금천,강도,검거,6
금천,강간,발생,162
금천,강간,검거,133
금천,절도,발생,1552
금천,절도,검거,496
금천,폭력,발생,2112
금천,폭력,검거,1792
중랑,살인,발생,11
중랑,살인,검거,10
중랑,강도,발생,14
중랑,강도,검거,11
중랑,강간,발생,163
중랑,강간,검거,118
중랑,절도,발생,2390
중랑,절도,검거,823
중랑,폭력,발생,2775
중랑,폭력,검거,2297
강남,살인,발생,8
강남,살인,검거,4
강남,강도,발생,19
강남,강도,검거,17
강남,강간,발생,373
강남,강간,검거,288
강남,절도,발생,2340
강남,절도,검거,786
강남,폭력,발생,2685
강남,폭력,검거,2234
관악,살인,발생,7
관악,살인,검거,8
관악,강도,발생,25
관악,강도,검거,22
관악,강간,발생,361
관악,강간,검거,238
관악,절도,발생,3029
관악,절도,검거,784
관악,폭력,발생,3359
관악,폭력,검거,2649
강서,살인,발생,8
강서,살인,검거,6
강서,강도,발생,9
강서,강도,검거,9
강서,강간,발생,214
강서,강간,검거,179
강서,절도,발생,2341
강서,절도,검거,734
강서,폭력,발생,2717
강서,폭력,검거,2297
강동,살인,발생,5
강동,살인,검거,4
강동,강도,발생,10
강동,강도,검거,8
강동,강간,발생,148
강동,강간,검거,129
강동,절도,발생,2425
강동,절도,검거,827
강동,폭력,발생,2804
강동,폭력,검거,2317
종암,살인,발생,2
종암,살인,검거,2
종암,강도,발생,9
종암,강도,검거,15
종암,강간,발생,72
종암,강간,검거,51
종암,절도,발생,989
종암,절도,검거,573
종암,폭력,발생,1072
종암,폭력,검거,907
구로,살인,발생,3
구로,살인,검거,3
구로,강도,발생,14
구로,강도,검거,10
구로,강간,발생,252
구로,강간,검거,186
구로,절도,발생,2377
구로,절도,검거,579
구로,폭력,발생,2743
구로,폭력,검거,2207
서초,살인,발생,4
서초,살인,검거,6
서초,강도,발생,12
서초,강도,검거,10
서초,강간,발생,224
서초,강간,검거,145
서초,절도,발생,2018
서초,절도,검거,587
서초,폭력,발생,1820
서초,폭력,검거,1561
양천,살인,발생,5
양천,살인,검거,5
양천,강도,발생,11
양천,강도,검거,10
양천,강간,발생,129
양천,강간,검거,96
양천,절도,발생,2058
양천,절도,검거,630
양천,폭력,발생,2439
양천,폭력,검거,1913
송파,살인,발생,9
송파,살인,검거,8
송파,강도,발생,9
송파,강도,검거,10
송파,강간,발생,255
송파,강간,검거,195
송파,절도,발생,4199
송파,절도,검거,885
송파,폭력,발생,3532
송파,폭력,검거,2884
노원,살인,발생,5
노원,살인,검거,4
노원,강도,발생,8
노원,강도,검거,7
노원,강간,발생,173
노원,강간,검거,136
노원,절도,발생,2404
노원,절도,검거,803
노원,폭력,발생,2722
노원,폭력,검거,2350
방배,살인,발생,2
방배,살인,검거,3
방배,강도,발생,2
방배,강도,검거,2
방배,강간,발생,61
방배,강간,검거,39
방배,절도,발생,729
방배,절도,검거,195
방배,폭력,발생,686
방배,폭력,검거,574
은평,살인,발생,5
은평,살인,검거,3
은평,강도,발생,11
은평,강도,검거,10
은평,강간,발생,114
은평,강간,검거,101
은평,절도,발생,1342
은평,절도,검거,433
은평,폭력,발생,1559
은평,폭력,검거,1280
도봉,살인,발생,6
도봉,살인,검거,7
도봉,강도,발생,11
도봉,강도,검거,15
도봉,강간,발생,172
도봉,강간,검거,159
도봉,절도,발생,1350
도봉,절도,검거,478
도봉,폭력,발생,1585
도봉,폭력,검거,1327
수서,살인,발생,5
수서,살인,검거,5
수서,강도,발생,18
수서,강도,검거,12
수서,강간,발생,139
수서,강간,검거,115
수서,절도,발생,1555
수서,절도,검거,407
수서,폭력,발생,1709
수서,폭력,검거,1394
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
